iter	Passed	Remaining
254	602	1761
255	604	1755
256	605	1751
257	607	1746
258	608	1741
259	610	1736
260	611	1730
261	612	1725
262	613	1720
263	615	1715
264	616	1710
265	617	1705
266	619	1700
267	621	1696
268	622	1691
269	623	1686
270	625	1681
271	626	1676
272	627	1671
273	629	1666
274	630	1661
275	631	1657
276	633	1652
277	634	1647
278	635	1643
279	637	1639
280	638	1634
281	640	1630
282	641	1625
283	643	1621
284	644	1616
285	645	1612
286	647	1607
287	648	1603
288	649	1598
289	651	1595
290	653	1592
291	655	1588
292	656	1584
293	658	1581
294	659	1576
295	661	1572
296	662	1568
297	663	1564
298	665	1559
299	666	1556
300	668	1552
301	670	1548
302	671	1544
303	672	1540
304	674	1535
305	675	1531
306	676	1528
307	678	1524
308	679	1519
309	681	1516
310	682	1513
311	684	1509
312	685	1505
313	687	1500
314	688	1496
315	689	1493
316	691	1488
317	692	1484
318	693	1480
319	695	1478
320	697	1475
321	698	1471
322	700	1467
323	701	1463
324	702	1459
325	704	1456
326	705	1452
327	707	1448
328	708	1444
329	709	1441
330	711	1437
331	713	1434
332	714	1430
333	715	1427
334	717	1423
335	718	1419
336	719	1416
337	721	1412
338	722	1408
339	724	1405
340	725	1402
341	727	1398
342	728	1395
343	729	1392
344	731	1388
345	732	1384
346	734	1381
347	735	1377
348	736	1374
349	738	1371
350	739	1367
351	741	1364
352	743	1362
353	744	1359
354	746	1355
355	747	1351
356	748	1348
357	749	1344
358	751	1341
359	752	1338
360	754	1335
361	755	1331
362	756	1328
363	758	1325
364	760	1322
365	761	1319
366	763	1316
367	764	1312
368	765	1309
369	767	1306
370	768	1303
371	770	1300
372	771	1297
373	773	1294
374	774	1291
375	776	1288
376	777	1285
377	778	1281
378	780	1278
379	781	1275
380	783	1272
381	784	1269
382	786	1266
383	787	1263
384	789	1260
385	790	1257
386	791	1254
387	793	1251
388	794	1248
389	796	1245
390	797	1242
391	798	1239
392	800	1236
393	801	1233
394	803	1230
395	804	1227
396	806	1224
397	807	1221
398	809	1218
399	810	1215
400	811	1212
401	813	1209
402	814	1206
403	816	1204
404	817	1201
405	819	1198
406	820	1195
407	822	1192
408	823	1189
409	824	1186
410	826	1184
411	827	1181
412	829	1178
413	830	1175
414	831	1172
415	833	1169
416	835	1167
417	836	1164
418	838	1162
419	839	1159
420	840	1156
421	842	1153
422	843	1150
423	845	1148
424	846	1145
425	847	1142
426	849	1140
427	851	1137
428	852	1134
429	853	1132
430	855	1129
431	856	1126
432	858	1123
433	859	1120
434	860	1117
435	862	1115
436	863	1112
437	865	1110
438	866	1107
439	868	1104
440	869	1102
441	871	1099
442	872	1097
443	873	1094
444	875	1091
445	876	1089
446	878	1086
447	879	1083
448	881	1081
449	883	1079
450	884	1076
451	885	1074
452	887	1071
453	888	1068
454	889	1065
455	891	1063
456	892	1060
457	894	1058
458	896	1056
459	897	1053
460	898	1050
461	900	1048
462	901	1045
463	903	1043
464	904	1040
465	905	1037
466	907	1035
467	908	1032
468	910	1030
469	911	1028
470	913	1025
471	914	1022
472	915	1020
473	917	1017
474	918	1015
475	919	1012
476	921	1010
477	922	1007
478	924	1005
479	925	1003
480	928	1001
481	929	998
482	930	996
483	932	993
484	933	991
485	934	988
486	936	986
487	937	983
488	938	981
489	940	978
490	943	978
491	944	975
492	946	973
493	947	970
494	948	968
495	950	965
496	951	963
497	953	960
498	954	958
499	957	957
500	958	955
501	960	952
502	961	950
503	962	947
504	964	945
505	965	942
506	966	940
507	968	937
508	969	935
509	972	934
510	974	932
511	975	929
512	976	927
513	978	924
514	979	922
515	980	920
516	982	917
517	983	915
518	985	913
519	987	911
520	989	909
521	990	907
522	992	904
523	993	902
524	995	900
525	996	897
526	997	895
527	999	893
528	1000	890
529	1003	890
530	1005	887
531	1006	885
532	1007	882
533	1009	880
534	1010	878
535	1011	876
536	1013	873
537	1014	871
538	1016	869
539	1018	867
540	1020	865
541	1021	863
542	1022	860
543	1024	859
544	1026	856
545	1028	854
546	1029	852
547	1031	850
548	1033	849
549	1035	847
550	1036	844
551	1038	842
552	1039	840
553	1040	838
554	1042	835
555	1043	833
556	1045	831
557	1046	828
558	1049	827
559	1050	825
560	1052	823
561	1053	821
562	1054	818
563	1056	816
564	1057	814
565	1059	812
566	1060	809
567	1061	807
568	1064	806
569	1066	804
570	1067	802
571	1068	799
572	1070	797
573	1071	795
574	1073	793
575	1074	790
576	1075	788
577	1077	786
578	1080	785
579	1081	783
580	1082	780
581	1084	778
582	1085	776
583	1086	774
584	1088	772
585	1089	769
586	1091	767
587	1092	765
588	1095	764
589	1097	762
590	1098	760
591	1100	758
592	1101	756
593	1103	754
594	1104	751
595	1107	750
596	1110	749
597	1112	747
598	1113	745
599	1114	743
600	1116	741
601	1117	738
602	1118	736
603	1120	734
604	1121	732
605	1123	730
606	1126	729
607	1127	727
608	1129	724
609	1130	722
610	1132	720
611	1133	718
612	1134	716
613	1136	714
614	1137	712
615	1139	710
616	1141	708
617	1142	706
618	1144	704
619	1145	702
620	1146	699
621	1148	697
622	1149	695
623	1150	693
624	1152	691
625	1153	689
626	1156	688
627	1157	685
628	1159	683
629	1160	681
630	1162	679
631	1163	677
632	1164	675
633	1166	673
634	1167	671
635	1169	669
636	1171	667
637	1173	665
638	1174	663
639	1175	661
640	1177	659
641	1178	657
642	1179	655
643	1181	652
644	1182	650
645	1184	648
646	1187	647
647	1188	645
648	1190	643
649	1191	641
650	1192	639
651	1193	637
652	1195	635
653	1196	633
654	1198	631
655	1199	629
656	1202	627
657	1203	625
658	1205	623
659	1206	621
660	1207	619
661	1209	617
662	1210	615
663	1211	613
664	1213	611
665	1214	609
666	1217	607
667	1218	605
668	1220	603
669	1221	601
670	1223	599
671	1224	597
672	1225	595
673	1227	593
674	1228	591
675	1229	589
676	1232	588
677	1234	586
678	1235	584
679	1237	582
680	1238	580
681	1240	578
682	1241	576
683	1243	574
684	1244	572
685	1246	570
686	1248	569
687	1250	566
688	1251	564
689	1253	563
690	1255	561
691	1256	559
692	1257	557
693	1259	555
694	1260	553
695	1263	551
696	1264	549
697	1265	547
698	1267	545
699	1268	543
700	1269	541
701	1271	539
702	1272	537
703	1274	535
704	1275	533
705	1277	532
706	1279	530
707	1280	528
708	1282	526
709	1283	524
710	1284	522
711	1285	520
712	1287	518
713	1288	516
714	1290	514
715	1293	512
716	1294	510
717	1295	509
718	1297	507
719	1298	505
720	1300	503
721	1301	501
722	1303	499
723	1304	497
724	1306	495
725	1308	493
726	1310	492
727	1311	490
728	1313	488
729	1314	486
730	1315	484
731	1317	482
732	1318	480
733	1319	478
734	1322	476
735	1324	474
736	1325	473
737	1326	471
738	1328	469
739	1329	467
740	1330	465
741	1332	463
742	1333	461
743	1335	459
744	1338	457
745	1339	456
746	1340	454
747	1342	452
748	1343	450
749	1345	448
750	1346	446
751	1347	444
752	1349	442
753	1350	440
754	1353	439
755	1354	437
756	1356	435
757	1357	433
758	1358	431
759	1360	429
760	1361	427
761	1363	425
762	1364	423
763	1365	421
764	1369	420
765	1370	418
766	1372	416
767	1373	414
768	1374	412
769	1375	410
770	1377	409
771	1378	407
772	1380	405
773	1382	403
774	1384	401
775	1385	400
776	1387	398
777	1388	396
778	1389	394
779	1391	392
780	1392	390
781	1394	388
782	1395	386
783	1400	385
784	1402	384
785	1404	382
786	1405	380
787	1406	378
788	1408	376
789	1409	374
790	1411	372
791	1413	371
792	1415	369
793	1416	367
794	1417	365
795	1419	363
796	1420	361
797	1422	359
798	1423	358
799	1425	356
800	1426	354
801	1429	352
802	1431	351
803	1432	349
804	1434	347
805	1435	345
806	1437	343
807	1438	341
808	1440	339
809	1441	338
810	1443	336
811	1445	334
812	1447	332
813	1448	330
814	1450	329
815	1451	327
816	1453	325
817	1454	323
818	1455	321
819	1457	319
820	1459	318
821	1461	316
822	1462	314
823	1464	312
824	1465	310
825	1467	309
826	1468	307
827	1470	305
828	1471	303
829	1473	301
830	1476	300
831	1477	298
832	1479	296
833	1480	294
834	1481	292
835	1483	291
836	1484	289
837	1486	287
838	1487	285
839	1490	283
840	1492	282
841	1493	280
842	1495	278
843	1497	276
844	1498	274
845	1499	273
846	1501	271
847	1502	269
848	1505	267
849	1506	265
850	1508	264
851	1509	262
852	1511	260
853	1512	258
854	1513	256
855	1515	254
856	1516	253
857	1518	251
858	1521	249
859	1523	247
860	1524	246
861	1526	244
862	1528	242
863	1529	240
864	1530	238
865	1532	237
866	1534	235
867	1536	233
868	1537	231
869	1539	230
870	1540	228
871	1542	226
872	1543	224
873	1545	222
874	1546	220
875	1548	219
876	1550	217
877	1552	215
878	1553	213
879	1555	212
880	1556	210
881	1557	208
882	1559	206
883	1560	204
884	1561	202
885	1563	201
886	1566	199
887	1568	197
888	1569	195
889	1571	194
890	1572	192
891	1574	190
892	1575	188
893	1577	186
894	1578	185
895	1582	183
896	1583	181
897	1585	180
898	1586	178
899	1588	176
900	1589	174
901	1591	172
902	1592	171
903	1595	169
904	1598	167
905	1599	165
906	1601	164
907	1602	162
908	1604	160
909	1605	158
910	1607	157
911	1608	155
912	1611	153
913	1612	151
914	1614	149
915	1615	148
916	1616	146
917	1618	144
918	1619	142
919	1621	140
920	1622	139
921	1623	137
922	1626	135
923	1628	133
924	1629	132
925	1631	130
926	1632	128
927	1633	126
928	1634	124
929	1636	123
930	1637	121
931	1639	119
932	1642	117
933	1643	116
934	1644	114
935	1646	112
936	1647	110
937	1648	108
938	1650	107
939	1651	105
940	1653	103
941	1654	101
942	1657	100
943	1658	98
944	1660	96
945	1661	94
946	1663	93
947	1664	91
948	1665	89
949	1667	87
950	1669	85
951	1671	84
952	1672	82
953	1674	80
954	1675	78
955	1676	77
956	1678	75
957	1679	73
958	1681	71
959	1682	70
960	1684	68
961	1686	66
962	1687	64
963	1688	63
964	1690	61
965	1691	59
966	1692	57
967	1694	56
968	1695	54
969	1696	52
970	1698	50
971	1699	48
972	1701	47
973	1703	45
974	1704	43
975	1705	41
976	1707	40
977	1708	38
978	1709	36
979	1711	34
980	1712	33
981	1713	31
982	1715	29
983	1716	27
984	1718	26
985	1719	24
986	1720	22
987	1722	20
988	1723	19
989	1725	17
990	1726	15
991	1728	13
992	1729	12
993	1731	10
994	1732	8
995	1734	6
996	1735	5
997	1736	3
998	1738	1
999	1739	0
